text,label
"Power the air conditioner.",0
"Set the volume lower.",0
"Would you like to learn about volunteer opportunities in this community?",1
"Suppress the heater.",0
"Shall we plan a trip to a nearby island or coastal town?",1
"Slide the volume down.",0
"Would you like to adjust the interior lighting to something more soothing?",1
"Do you want to know where to find the best local ice cream or desserts?",1
"Play the song before this one.",0
"Trigger the heater.",0
"Would you like to learn about the architecture of the buildings we're passing?",1
"Can it park in compact spaces?",2
"Can I find a farm where you can pick your own fruits or vegetables?",1
"Want a trivia question?",1
"Deactivate the heater.",0
"Do you want to know the best local spots for a romantic evening?",1
"Activate the music.",0
"Would you like to participate in a charity run or community sports event?",1
"Do you need any help setting up your vehicle's Bluetooth connectivity?",1
"Can I help you locate a spot for bird watching or other wildlife observations?",1
"Shall we plan a visit to a nearby museum dedicated to science or technology?",1
"Turn up the air conditioner.",0
"Would you like to take a break at the next rest stop?",1
"How to check battery health status?",2
"Do you want to know the top-rated local specialties to try?",1
"Would you like to discuss the architectural styles prevalent in this town?",1
"Wake up the air conditioning.",0
"What are the instructions for using the media player in a Tesla Model S?",2
"Resume the previous track.",0
"Model S flat tire management recommendations?",2
"How do you use the Tesla Model S’s navigation system?",2
"Eliminate the air conditioner.",0
"Play the song just played.",0
"Escalate the volume.",0
"Should we find a nearby service station for a quick vehicle check-up?",1
"Would you like to know the best times to visit popular tourist attractions?",1
"Silence the noise.",0
"Should we search for unique gift shops where you can buy souvenirs?",1
"Turn the heater off.",0
"Would you like to stop at a local farm where you can learn about organic farming?",1
"Play the last song we heard.",0
"Shall we discuss some of the local wildlife you might encounter in this region?",1
"Restart the previous song.",0
"Seen any good plays?",1
"Should I remind you to take a break after two hours of driving?",1
"Cease musical play.",0
"Soft the sound.",0
"Can I find a workshop where you can learn pottery or painting?",1
"Does Model S support Apple CarPlay?",2
"How to access Model S's rear trunk?",2
"Power up the heater.",0
"Would you like to visit a vineyard or brewery for a tour and tasting session?",1
"Press the volume down.",0
"Turn up the heater.",0
"Start the audio.",0
"Do you want to learn about any local non-profit organizations you can support?",1
"Would you like to learn about the best local methods for sustainable living?",1
"Would you like to explore local wineries and arrange a tasting tour?",1
"Activate the playlist.",0
"How do you check the tire pressure on a Tesla Model S?",2
"Do you want me to adjust the seat heating as the temperature drops?",1
"Can Model S play videos?",2
"Do you want to check the balance of your road toll account?",1
"Seen any good art exhibits?",1
"What are the guidelines for towing?",2
"Trigger the previous song.",0
"Would you like to hear some intriguing historical trivia about this town?",1
"Replacing Model S cabin air filter?",2
"Flip on the air conditioning.",0
"Tips for maintaining paint gloss?",2
"Cut the sound.",0
"Would you like to explore a nearby village or small town for its unique charm?",1
"How do you adjust the Tesla Model S’s suspension settings?",2
"How do you calibrate the cameras on the Tesla Model S?",2
"How to manually open Model S charge port?",2
"Do you want to find out about upcoming holiday events or celebrations?",1
"Know the story behind that building?",1
"Move back to the previous song.",0
"Do you want to find the nearest climbing gym or bouldering center?",1
"How do you utilize the autopark feature on the Tesla Model S?",2
"Tesla Model S dash cam setup?",2
"Set off the music.",0
"Can I help you find a good parking spot nearby?",1
"Can I search for local events that allow you to experience the community?",1
"Prefer podcasts or music?",1
"Muffle the sound.",0
"Turn the music down.",0
"Turn the AC on.",0
"Cut the heater off.",0
"Scale up the volume.",0
"Commence the heating.",0
"Disable the music.",0
"Trigger the air conditioning.",0
"How are you doing?",1
"Can I find you a nearby spot for yoga or meditation?",1
"Heard this podcast?",1
"Would you like to attend a book reading or signing by a local author?",1
"Can software updates be done remotely?",2
"Unpause the music.",0
"What are the instructions for installing a child seat in the Tesla Model S?",2
"How to use Model S's automatic parking?",2
"Should we check the status of public transport options in case you want to park and ride?",1
"Neutralize the heater.",0
"Cease the air conditioning.",0
"Recommended products for interior cleaning?",2
"How are you?",1
"Can I help you find the best seafood restaurant nearby?",1
"Ever been to a local concert?",1
"What are the instructions for using the Tesla Model S’s touch screen?",2
"Would you like to know about local artisanal cheese makers you can visit?",1
"Undo the air conditioning.",0
"Relaunch the previous song.",0
"How's the day treating you?",1
"Feel relaxed?",1
"Would you like to participate in a local sports event, like a community run or bike race?",1
"Do you want to take a riverboat cruise or a kayaking tour?",1
"How to connect to home Wi-Fi?",2
"What are the specifics of the pedestrian warning system in a Tesla Model S?",2
"Do you want to find the nearest locations for bird-watching?",1
"Do you need to know the traffic regulations in this new city?",1
"Like local history?",1
"Tesla Model S door handle issues?",2
"Would you like to visit a nearby university campus for a walking tour?",1
"Release the tunes.",0
"Do you want to explore any nearby caves or geological features?",1
"Would you like to take a guided tour focusing on the city's street art?",1
"Shall we find the best route to a secluded spot that's perfect for a quiet retreat?",1
"Can I help you with locating pet-friendly stops?",1
"Should I monitor the car's battery level and suggest when to charge?",1
"Would you like to explore the options for scenic cycling routes around here?",1
"Vegan leather care tips?",2
"Do you need to review any safety features of the car?",1
"Model S rear camera features?",2
"Can I find a venue that offers live jazz or blues music tonight?",1
"Can I help you find a local guide who can provide a personalized tour?",1
"Methods for reducing tire wear?",2
"Would you like some suggestions for podcasts to listen to?",1
"Need a good laugh today?",1
"Hit play on the previous track.",0
"Pause the tunes.",0
"Unleash the air conditioning.",0
"Do you want to explore nearby national parks or nature reserves?",1
"De-energize the heater.",0
"How to install a rear-facing child seat?",2
"How about we check out some new restaurants on our route?",1
"Are you looking for somewhere new to visit today?",1
"How to manually open the charge port?",2
"Do you have any favorite spots you’d like to revisit today?",1
"Can I find a nearby rest area?",1
"What are the towing capabilities of the Tesla Model S?",2
"Would you like to hear some tips on driving efficiently in this area?",1
"Retrieve the previous song.",0
"How to enable Model S autopilot?",2
"Would you like to explore artisanal food markets to sample and buy local products?",1
"How do you adjust the brightness of the Tesla Model S’s displays?",2
"How to use automatic parking?",2
"How to reset Model S computer?",2
"Would you like to check for updates on a scheduled road closure?",1
"What are the scheduled maintenance alerts?",2
"Cue the music.",0
"Quiet down the sound.",0
"Start the music stream.",0
"Ignite the heater.",0
"Shall we find a pet-friendly park nearby?",1
"Should I look up any local attractions?",1
"Would you like to try out a local escape room challenge?",1
"Does Model S have a tow mode?",2
"Increase sound level.",0
"How's the day looking for you?",1
"Do you want to send a quick update to your colleagues about your ETA?",1
"Shall we look for a community garden where you can learn about urban gardening?",1
"Do you want to know about nearby historical homes or estates open to the public?",1
"Would you like to learn about the local sports teams and maybe catch a game?",1
"Would you like to hear the latest news while we drive?",1
"How to adjust Model S driver seat memory?",2
"Interested in nearby nature trails?",1
"Would you like to visit a chocolate shop or a confectionery for some sweet treats?",1
"Should I search for nearby fitness centers or parks?",1
"What steps should you take to maintain the Tesla Model S battery?",2
"Close the air conditioner.",0
"Is the seat warmer comfortable, or should I adjust it?",1
"Drop the sound.",0
"Douse the heater.",0
"Know any good hiking spots?",1
"Put on some music.",0
"Can I help you find the most Instagrammable spots in the city?",1
"How to optimize dashboard displays?",2
"Shall we search for an antique shop or a flea market?",1
"Bring the AC into operation.",0
"Go back to the previous track.",0
"Undo the heater’s power.",0
"What should you do if the Tesla Model S touchscreen is unresponsive?",2
"Bring back the last song.",0
"Turn the air cooling off.",0
"What is Model S's range on a full charge?",2
"Would you like to hear about the best local spots for photography?",1
"Off the air conditioning.",0
"Need a coffee or tea break?",1
"What are the steps to engage the emergency brake in a Tesla Model S?",2
"Return to the song before.",0
"Can I find out if there are any farm-to-table dinners or food festivals?",1
"Do you want to try out a local cooking class or a wine tasting session?",1
"Would you like to play an audiobook for the remainder of our trip?",1
"Enhance the sound level.",0
"Would you like me to adjust the steering wheel position?",1
"De-energize the air conditioning.",0
"How do you manage the Tesla Model S’s internet connection?",2
"Kill the music.",0
"Model S panoramic roof controls?",2
"Do you want to know about the best bakeries for fresh pastries and bread?",1
"Stop heating.",0
"Do you need help organizing a day of pampering at a local salon?",1
"Would you like to find out about any art exhibitions happening nearby?",1
"Would you like to attend a local soccer or baseball game?",1
"Shall we plan a visit to a nearby museum or gallery?",1
"Heard this week's top song?",1
"Can I help you find the best sunset spots to end your day beautifully?",1
"Would you like to review your schedule for the day?",1
"Kickstart the heater.",0
"Can I help you understand the features of this rental car?",1
"Mute button.",0
"Would you like to go horseback riding in the nearby countryside?",1
"Terminate the air conditioning.",0
"How to set up Model S driver profiles?",2
"Play the song before.",0
"Unplug the heater.",0
"Lower the volume slightly.",0
"How do you check the brake pads on a Tesla Model S?",2
"Hold the music.",0
"Can I help you locate a place for paddleboarding or kayaking?",1
"Would you like to hear about upcoming charity events or community gatherings?",1
"Can I help you discover a nearby trail for cycling or hiking?",1
"Underwhelm the volume.",0
"How to adjust the digital instrument cluster?",2
"Do you want to know where you can watch a live sports event?",1
"How to use Model S voice navigation?",2
"Switch on the music.",0
"Found any unique local shops?",1
"Ratchet up the volume.",0
"How to use the satellite view maps?",2
"How to enable child safety locks?",2
"How to troubleshoot Model S Homelink problems?",2
"Turn down the volume slightly.",0
"How to handle unexpected shutdowns?",2
"Tesla Model S battery care?",2
"Shall I open the windows a bit?",1
"Can I suggest some tranquil spots for meditation or yoga?",1
"Attenuate the volume.",0
"What to do if GPS fails?",2
"Do you need help finding a place to meet up with friends around here?",1
"Command the previous song to play.",0
"Mute the noise.",0
"Need to stretch legs?",1
"End the heating.",0
"Does it have a tow mode?",2
"Switch off the home heater.",0
"Would you like a summary of your weekly calendar?",1
"Switch to the previous song.",0
"Should we plan for an adventure or sport activity around here?",1
"Cease the sound.",0
"Power the heater.",0
"Reduce sound volume.",0
"Do you want me to find a route that includes lots of nature spots?",1
"Turn the heat down.",0
"How to clean Model S vegan leather seats?",2
